Sticker,Full name,Focus,Rating,Numerical_Rating,5Y_Default_Rate,NOI(UNADJUSTED), NOI , IE (UNADJUSTED) , Interest Expense , Total Debt , Total Equity , Cash , Total Assets ,Interest_Expense_Coverage_Ratio,Net_Debt_Leverage_Ratio,Total_Leverage_Ratio,Debt_to_Equity_Ratio,EBITDA_Asset_Ratio,EBITDA_Equity_Ratio,Residential,Office,Retail,Industrial
AIRC,Apartment Income REIT Corp.,Residential,BBB,8,0.0116,376937," 502,582.67 "," 96,629.00 "," 128,838.67 "," 3,611,381.00 "," 2,710,728.00 "," 134,170.00 "," 6,322,109.00 ",3.900868269,6.918684687,7.185645745,1.332255025,0.079496046,0.185405052,1,0,0,0
AIV,Apartment Investment and Management Co ,Residential,BBB-,7,0.0244,111117," 148,156.00 "," 27,633.00 "," 36,844.00 "," 1,495,401.00 "," 585,264.00 "," 115,885.00 "," 2,080,665.00 ",4.02117034,9.311239504,10.0934218,2.55508796,0.071206081,0.25314388,1,0,0,0
AVB,AvalonBay Communities ,Residential,A-,10,0.0046,1325451," 1,767,268.00 "," 156,521.00 "," 208,694.67 "," 8,923,508.00 "," 11,777,601.00 "," 780,106.00 "," 20,701,109.00 ",8.468199155,4.607904404,5.049323589,0.757667712,0.085370692,0.150053309,1,0,0,0
CPT,Camden Property Trust,Residential,A-,10,0.0046,671452," 895,269.33 "," 99,427.00 "," 132,569.33 "," 4,279,485.00 "," 4,934,979.00 "," 22,969.00 "," 9,214,464.00 ",6.753215927,4.754453036,4.780109003,0.867173903,0.097159133,0.181412998,1,0,0,0
EQR,Equity Residential,Residential,A-,10,0.0046,1302971," 1,737,294.67 "," 207,905.00 "," 277,206.67 "," 8,565,306.00 "," 11,265,887.00 "," 126,727.00 "," 19,831,193.00 ",6.267146052,4.85731014,4.930255163,0.760286873,0.087604143,0.154208423,1,0,0,0
ESS,Essex Property Trust,Residential,BBB+,9,0.0081,805185," 1,073,580.00 "," 157,806.00 "," 210,408.00 "," 6,761,240.00 "," 5,706,447.00 "," 490,683.00 "," 12,467,687.00 ",5.102372533,5.840791557,6.297844595,1.184842337,0.086108995,0.188134578,1,0,0,0
INVH,Invitation Homes Inc.,Residential,BBB,8,0.0116,1020117," 1,360,156.00 "," 243,408.00 "," 324,544.00 "," 9,196,652.00 "," 10,269,546.00 "," 979,891.00 "," 19,466,198.00 ",4.190975646,6.041043086,6.761468537,0.895526638,0.06987271,0.132445582,1,0,0,0
MAA,Mid-America Apartment Communities,Residential,A-,10,0.0046,936216," 1,248,288.00 "," 110,655.00 "," 147,540.00 "," 5,060,700.00 "," 6,303,589.00 ","175,337"," 11,364,289.00 ",8.460675071,3.913650536,4.054112512,0.802828357,0.109843035,0.198028139,1,0,0,0
SUI,Sun Communities,Residential,BBB,8,0.0116,999.2," 1,332.27 ", 242.60 , 323.47 ," 9,465.00 "," 7,835.80 ", 174.80 ," 17,300.80 ",4.118713932,6.973228583,7.104433547,1.207917507,0.077006073,0.170023057,1,0,0,0
UDR,UDR Inc.,Residential,BBB+,9,0.0081,731672," 975,562.67 "," 133,519.00 "," 178,025.33 "," 6,361,659.00 "," 4,151,134.00 "," 32,455.00 "," 10,512,793.00 ",5.479909226,6.487747242,6.521015223,1.532511116,0.092797667,0.235011124,1,0,0,0
VRE,Veris Residential Inc,Residential,B,2,0.1532,73226," 97,634.67 "," 67,422.00 "," 89,896.00 "," 1,998,585.00 "," 1,291,074.00 "," 40,877.00 "," 3,289,659.00 ",1.086084661,20.05136154,20.47003455,1.548001896,0.029679267,0.075622828,1,0,0,0
